Fri Jul 31 15:48:45 CEST 2020
usage: wp term delete <taxonomy> <term>... [--by=<field>]
Success: Updating Route ID # 88809
Success: Updating Route ID # 88780
Success: Updating Route ID # 88747
Success: Updating Route ID # 88707
Success: Updating Route ID # 88687
Success: Updating Route ID # 88277
Success: Updating Route ID # 88263
Success: Updating Route ID # 88252
Success: Updating Route ID # 88240
Success: Updating Route ID # 88085
Success: Updating Route ID # 88035
Success: Updating Route ID # 87940
Success: Updating Route ID # 87928
Success: Updating Route ID # 87918
Success: Updating Route ID # 87905
Success: Updating Route ID # 85013
Success: Updating Route ID # 84967
Success: Updating Route ID # 84927
Success: Updating Route ID # 84889
Success: Updating Route ID # 84840
Success: Updating Route ID # 84806
Success: Updating Route ID # 84733
Success: Updating Route ID # 84639
Success: Updating Route ID # 84530
Success: Updating Route ID # 84474
Success: Updating Route ID # 84459
Success: Updating Route ID # 84449
Success: Updating Route ID # 84281
Success: Updating Route ID # 84234
Success: Updating Route ID # 84205
Success: Updating Route ID # 84161
Success: Updating Route ID # 84152
Success: Updating Route ID # 84142
Success: Updating Route ID # 84133
Success: Updating Route ID # 84114
Success: Updating Route ID # 84078
Success: Updating Route ID # 84070
Success: Updating Route ID # 84034
Success: Updating Route ID # 84015
Success: Updating Route ID # 83988
Success: Updating Route ID # 83866
Success: Updating Route ID # 83825
Success: Updating Route ID # 83772
Success: Updating Route ID # 83696
Success: Updating Route ID # 83635
Success: Updating Route ID # 83586
Success: Updating Route ID # 83625
Success: Updating Route ID # 83577
Success: Updating Route ID # 83516
Success: Updating Route ID # 83494
Success: Updating Route ID # 83461
Success: Updating Route ID # 83480
Success: Updating Route ID # 83399
Success: Updating Route ID # 83388
Success: Updating Route ID # 83317
Success: Updating Route ID # 83294
Success: Updating Route ID # 83270
Success: Updating Route ID # 83244
Success: Updating Route ID # 83222
Success: Updating Route ID # 83177
Success: Updating Route ID # 83130
Success: Updating Route ID # 83095
Success: Updating Route ID # 83079
Success: Updating Route ID # 83036
Success: Updating Route ID # 82975
Success: Updating Route ID # 82890
Success: Updating Route ID # 82845
Success: Updating Route ID # 82801
Success: Updating Route ID # 82779
Success: Updating Route ID # 82763
Success: Updating Route ID # 82739
Success: Updating Route ID # 82724
Success: Updating Route ID # 82713
Success: Updating Route ID # 82701
Success: Updating Route ID # 82683
Success: Updating Route ID # 82670
Success: Updating Route ID # 82647
Success: Updating Route ID # 82631
Success: Updating Route ID # 82607
Success: Updating Route ID # 82584
Success: Updating Route ID # 82568
Success: Updating Route ID # 82525
Success: Updating Route ID # 82374
Success: Updating Route ID # 82041
Success: Updating Route ID # 82037
Success: Updating Route ID # 82009
Success: Updating Route ID # 81955
Success: Updating Route ID # 81930
Success: Updating Route ID # 81899
Success: Updating Route ID # 81894
Success: Updating Route ID # 81876
Success: Updating Route ID # 81848
Success: Updating Route ID # 81826
Success: Updating Route ID # 81818
Success: Updating Route ID # 81773
Success: Updating Route ID # 81752
Success: Updating Route ID # 81716
Success: Updating Route ID # 81678
Success: Updating Route ID # 81655
Success: Updating Route ID # 81636
Success: Updating Route ID # 81635
Success: Updating Route ID # 81613
Success: Updating Route ID # 81544
Success: Updating Route ID # 81597
Success: Updating Route ID # 81580
Success: Updating Route ID # 81553
Success: Updating Route ID # 81531
Success: Updating Route ID # 81414
Success: Updating Route ID # 81350
Success: Updating Route ID # 81315
Success: Updating Route ID # 81270
Success: Updating Route ID # 81266
Success: Updating Route ID # 81245
Success: Updating Route ID # 81222
Success: Updating Route ID # 81193
Success: Updating Route ID # 81161
Success: Updating Route ID # 80474
Success: Updating Route ID # 80459
Success: Updating Route ID # 80455
Success: Updating Route ID # 80449
Success: Updating Route ID # 80445
Success: Updating Route ID # 80441
Success: Updating Route ID # 80432
Success: Updating Route ID # 80425
Success: Updating Route ID # 80412
Success: Updating Route ID # 80423
Success: Updating Route ID # 80421
Success: Updating Route ID # 80417
